"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Handlebars", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\resources.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\resources\resources.service.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 1, 17, 102
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\dto\create-user.dto.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\dto\update-user.dto.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\entities\individual-user.entity.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 1, 17, 58
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\entities\user.entity.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 10, 11, 41
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\users.controller.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 7, 38
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\users.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\users\users.service.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 1, 18, 107
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\test\app.e2e-spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 5, 25
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\tsconfig.build.json", "JSON", 3, 0, 0, 0, 0, 0, 2, 0, 5
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 1, 22
"Total", "-", 13499, 2231, 21, 6, 61, 25, 91, 528, 16462
